,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,renovated,has_basement,lake_zips,price/sqft,bed_to_bath_ratio
0,2014-10-13,221900.0,3,1.0,1180,5650,1.0,0.0,3,7,1180,0.0,1955,0.0,98178,47.5112,-122.257,1340,5650,0.0,0.0,0.0,188.05084745762713,3.0
1,2014-12-09,538000.0,3,2.25,2570,7242,2.0,0.0,3,7,2170,400.0,1951,1991.0,98125,47.721,-122.319,1690,7639,1.0,1.0,0.0,209.3385214007782,1.3333333333333333
2,2015-02-25,180000.0,2,1.0,770,10000,1.0,0.0,3,6,770,0.0,1933,0.0,98028,47.7379,-122.233,2720,8062,0.0,0.0,0.0,233.76623376623377,2.0
3,2014-12-09,604000.0,4,3.0,1960,5000,1.0,0.0,5,7,1050,910.0,1965,0.0,98136,47.5208,-122.393,1360,5000,0.0,1.0,0.0,308.16326530612247,1.3333333333333333
4,2015-02-18,510000.0,3,2.0,1680,8080,1.0,0.0,3,8,1680,0.0,1987,0.0,98074,47.6168,-122.045,1800,7503,0.0,0.0,0.0,303.57142857142856,1.5
5,2014-06-27,257500.0,3,2.25,1715,6819,2.0,0.0,3,7,1715,0.0,1995,0.0,98003,47.3097,-122.327,2238,6819,0.0,0.0,0.0,150.14577259475217,1.3333333333333333
6,2015-01-15,291850.0,3,1.5,1060,9711,1.0,0.0,3,7,1060,0.0,1963,0.0,98198,47.4095,-122.315,1650,9711,0.0,0.0,0.0,275.3301886792453,2.0
7,2015-04-15,229500.0,3,1.0,1780,7470,1.0,0.0,3,7,1050,730.0,1960,0.0,98146,47.5123,-122.337,1780,8113,0.0,1.0,0.0,128.93258426966293,3.0
8,2015-03-12,323000.0,3,2.5,1890,6560,2.0,0.0,3,7,1890,0.0,2003,0.0,98038,47.3684,-122.031,2390,7570,0.0,0.0,0.0,170.8994708994709,1.2
9,2015-04-03,662500.0,3,2.5,3560,9796,1.0,0.0,3,8,1860,1700.0,1965,0.0,98007,47.6007,-122.145,2210,8925,0.0,1.0,0.0,186.09550561797752,1.2
10,2014-05-27,468000.0,2,1.0,1160,6000,1.0,0.0,4,7,860,300.0,1942,0.0,98115,47.69,-122.292,1330,6000,0.0,1.0,0.0,403.44827586206895,2.0
11,2014-05-28,310000.0,3,1.0,1430,19901,1.5,0.0,4,7,1430,0.0,1927,0.0,98028,47.7558,-122.229,1780,12697,0.0,0.0,0.0,216.78321678321677,3.0
12,2014-10-07,400000.0,3,1.75,1370,9680,1.0,0.0,4,7,1370,0.0,1977,0.0,98074,47.6127,-122.045,1370,10208,0.0,0.0,0.0,291.97080291970804,1.7142857142857142
13,2015-03-12,530000.0,5,2.0,1810,4850,1.5,0.0,3,7,1810,0.0,1900,0.0,98107,47.67,-122.394,1360,4850,0.0,0.0,0.0,292.81767955801104,2.5
14,2015-01-24,650000.0,4,3.0,2950,5000,2.0,0.0,3,9,1980,970.0,1979,0.0,98126,47.5714,-122.375,2140,4000,0.0,1.0,0.0,220.33898305084745,1.3333333333333333
15,2014-07-31,395000.0,3,2.0,1890,14040,2.0,0.0,3,7,1890,0.0,1994,0.0,98019,47.7277,-121.962,1890,14018,0.0,0.0,0.0,208.994708994709,1.5
16,2014-05-29,485000.0,4,1.0,1600,4300,1.5,0.0,4,7,1600,0.0,1916,0.0,98103,47.6648,-122.343,1610,4300,0.0,0.0,0.0,303.125,4.0
